类型|留言标题|留言内容|留言时间|答复内容|答复部门|答复时间|主题分类|行政区域
建议|建议专27路调整为全日运营|因红莲中里，马连道中里附近市民出行需求较大，继专30路调整为全日运营后，建议专27路也调整为全日运营，望公交集团优先考虑此建议，谢谢|2020-07-02|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：公交线路运营时间的调整，需要具备相应客流需求的支撑，并同时具备能够满足运营需要的公交场站。根据我们对现有的客流需求进行调查，载客量较少，不足以支撑线路调整的客流要求，现有的营业时间是能够满足市民出行需求的，因此目前暂时不进行调整。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-07|公共交通线路|NaN
建议|805路更改始发站|为了京冀乘客接驳通州西站铁路，建议805路由原通州北苑路口西改为通州西站往返廊坊。|2020-07-02|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实：乘客反映的通州西站不在805路既有路由范围之内，对于新建成区域，应进行客流预测，公共汽电车日出行人次等指标的预测值达到相应标准时进行线网设置。由于现阶段通州西站客流有限，故不建议调整线路。乘客可乘坐805路到通州北苑导乘591路、810路、938路、T103路到达通州西站。给您的出行带来不便，请谅解。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-07|公共交通线路|NaN
建议|不建议专9路撤销，并进行优化调整|为提高地面公交整体运营效率，优化北京丰台区，南城公交线网优化布局，方便西革新里，东革新里，革新南路有路无车，康泽园小区，顶秀欣园，怡和世家，彩虹城，世华水岸小区市民出行，接驳北京南站，地铁宋家庄站，大红门，南四环，木樨园，地铁永定门外站，也方便北京南站客流疏散，不建议撤销专9路，像专18路一样，把它调整为北京南站南广场-地铁宋家庄站。下行：（走向为北京南站路，革新南路，永定门外大街，南苑路，大红门路，南顶路，榴乡路，石榴庄路，宋庄路）1.北京南站南广场2.西革新里3.东革新里4.沙子口5.木樨园桥北6.海户屯7.海慧寺8.南顶村9.南顶路西口10.光彩路南口11.光彩批发市场12.榴乡桥北13.地铁宋家庄站上行：（走向为宋庄路，金桥东街，金桥西街，光彩路，西四环中路，南苑路，大红门路，南苑路，永定门门外大街，，革新南路，北京南站路）1.地铁宋家庄站2.顶秀欣园东苑3.世华水岸小区4.怡和世家小区5.金桥西街西站6.大红门东桥西7.大红门桥北8.大红门北站9.南顶村10.海慧寺11.海户屯12.木樨园桥北13.东革新里14.西革新里15.北京南站南广场这样调整专9路可以大大方便丰台很多小区市民的出行，疏散北京南站，让市民的出行得到很大的改善。我非常希望我的建议可以被采纳，谢谢！|2020-07-02|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经查，专9路原是弥补路由缺失开通的微循环线路，之后由于效率较低，并且路由可通过换乘到达，故撤销该线路。乘客所述线路可通过乘坐2路从宋家庄直达革新南路。给您出行带来的不便，请谅解。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-07|公共交通线路|NaN
建议|建议撤销1路|由于一路与地铁一号线一路并行，按照594模式，撤销同时与轨道交通并行的路线，故建议撤销1路，增加运营效率，减小低效线路。|2020-07-02|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：由于公交线路撤销需交管部门审批，我们将及时会同交管部门现场勘查。1路是途径长安街唯一的线路，而且每天客流量大，如果线路撤销，会给现有的乘客造成极大的影响。因此，您的建议目前不能采纳，请谅解。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-07|公共交通线路|NaN
建议|建议325路更换单机|325路目前用车为电福双 但是325用双层感觉有点浪费 其客流没有大到需要用双层 原来用混动呆的时候也可以支撑 并且现有双层已经被减车了 所以更换单机纯电 减小间隔增加车辆 把双层留给客流较大的线路 毕竟现在铰接紧张 双层和三轴是最好的选择 所以希望考虑|2020-07-02|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，市民建议将325路的双层车改为单层车，目前325路客流较大，早晚高峰满载率已经到达65%，如果换单机车造成满载率过高，降低乘客乘车舒适度。同时线路配备的车型是有相关标准的，由于现在复产复工客流回升，更换小车满载会进一步升高不利于疫情防控，根据现在325路车型配备标准来看，可以符合客流需求。因此，您的建议目前不能采纳，请谅解。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-04|公共交通线路|NaN
建议|建议特2路截线|建议特2路截线，丽泽桥北到鼓楼外大街南站，撤出路段380、409路替代。|2020-07-02|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：公交运营线路调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持，并得到市相关部门的审批。如撤销安贞西里至炎黄艺术馆站位，将对原乘车乘客造成影响，目前无法调整线路。因此，您的建议目前不能采纳，但将作为今后我们工作的参考。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-07|公共交通线路|NaN
建议|建议632路加站|建议632路加站，石板房，紫竹院南门，白石桥西。|2020-07-02|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，石板房站有355路和398路以及其他公交车停靠，如果632路再次在石板房进站，会影响到该站台其他公交车进站，出现车辆拥堵问题，乘客可以选择在石板房站乘坐355路和398路等公交车乘车。乘客建议632路增加紫竹院南门，632路行驶至紫竹桥进入主路，而紫竹院南门的站位在辅路，所以无法增设站位，乘客可以通过换乘乘坐632路车。乘客建议632路增加白石桥西站，该站有87路、360快等其他线路公交车，如果白石桥西再次进站，会影响其他线路公交车进站，因此，暂不建议增加站位，乘客可以在白石桥西选择其他公交车出行。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-07|公共交通线路|NaN
建议|建议645路加站|建议645路加站，魏公村路西口，在563、603路的站位。|2020-07-02|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：由于增移公交车站需交管部门审批，且增移车站需具备一定的设站条件才能实施，我们将及时会同交管部门现场勘查。为了缓解北京市道路交通拥堵问题，以及为了优化线路、减少重复线路、节约资源、减少空气污染的目的，公交集团不断对已有线路进行调整，目前北京市公交线路已组成网状线路，市民可通过换乘的方式达到各个市内地区，给您的出行带来不便，请谅解。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-07|公共交通线路|NaN
建议|建议626路增站|建议626路增站，马家沟、|2020-07-02|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，626路公交车的客流主要为学生流和工作性客流，厢白旗至上地六街东口方向主要运送的是静淑苑至八家家园小学的学生客流，八家家园至上地的工作性客流，马家沟站不在626路路由上，无法增加马家沟站。因此，乘客的建议目前不能采纳，但将作为今后我们工作的参考。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-07|公共交通线路|NaN
建议|建议438路加站|建议438路加站，学知桥北。|2020-07-02|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经调查，目前学知桥北站有94路、386路、478路等线路，其中部分线路与438路走向基本相同，如再增加438路学知桥北站位，将会造成该路段公交车密集造成拥堵，故不建议438路增设此站。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-07|公共交通线路|NaN
建议|建议384路加站|建议384路加站，西苑，安河桥，红山口，颐和园北宫门。|2020-07-02|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经调查，目前584路、932路、346路、303路均与384路走行方向相同。如再增加384路站位将对道路同行状况造成一定影响，故不建议384路增站，给您的出行带来不便，请谅解。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-07|公共交通线路|NaN
建议|建议335路加站|建议335路加站公主坟西西行站，设立在33、32、64路的站位，很多乘客需要换乘！过街天桥非常不方便！|2020-07-02|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，335路在公主坟西有站，在公主坟环岛南侧公主坟西（东行）站，335路在公主坟环岛为调头走向，如果在公主坟西（西行）再设站会减慢线路行驶速度，因为公主坟西（西行）站站上的线路众多，进站时需要排队进站，这样势必会增加周转时间，造成其他乘客的不满。如果将公主坟西（东行）迁移为公主坟西（西行）站，会带来在原车站下车的乘客出行不便。因此，您的建议目前不能采纳，请谅解。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-07|公共交通线路|NaN
建议|公交车建议|建议重新开启662路公交线路，并将662路设定为早晚高峰运营，缓解339路公交车早晚高峰的运行压力。662路公交车线路规划建议，王佐-南宫北站-云岗-云岗北区-佃起村-张家坟-朱家坟-赵辛店-六里桥北里-北京西站。希望相关部门可以采纳这个建议。|2020-07-02|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，339路早晚高峰计划发车间隔6分钟至8分钟。我们通过调取339路客流断面数据，早高峰最大客流时间段为5:30分-6:30分，最大满载率42%。晚高峰最大客流时间段为18:30分-19:30分，最大满载率39%，由此可见，339路高峰运营期间断面客流不大。因此，不建议再重新开通662路公交线路。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-07|公共交通线路|NaN
建议|建议938路多加几班去香河总站的全程车|现在，938路一天只有6趟到香河的全程车，大部分车终点天下第一城。但是目前，从安平镇去香河县城只有一个香河201路，间隔非常大。如果938路全程车加几班，同样的路线就多了一种选择，我们就不必要非得去等香河201路了，如果将全程车改成60min-90min一班，剩下的车终点天下第一城，这也是一种不错的方案|2020-07-01|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经调取乘客反映线路连续5日车内满载显示：6月27日车内满载约为3.33%，6月28日车内满载约为1.11%，6月29日车内满载约为2.22%，6月30日车内满载约为3.33%，7月1日车内满载约为2.22%，通过车内客流满载分析，现在的线路发车车次可以满足乘客的出行需求。因此，暂不建议增加车次。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-04|公共交通线路,公共交通运营|NaN
建议|建议534路改走中关村南大街、万寿寺路|建议534路双向改走万寿寺路、中关村南大街，因为与362有大段重复路段。改走万寿寺路后可以方便沿线居民平峰出行。|2020-07-01|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，534路中途白石桥东、动物园、西直门均是换乘站。厂洼北站至厂洼街东口只有534路经过，如果调整走中关村南大街会给此路段出行的居民带来不便。目前我们不能采纳您的建议，您的建议将作为我们今后工作的参考。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-04|公共交通线路|NaN
建议|建议撤销特17路，并延长特19路至北京南站|特17路客流量低，建议撤销，撤销后可由997路代替。同时把车给特19路，特19路延长到北京南站，方便广安门地区居民前往海淀，打造连接两大火车站、两广路、三里河、动物园、中关村、北大清华、圆明园的黄金线路特19路设站方案：按现有线路至北京西站后，增设六里桥北里、六里桥东、莲花池、湾子、达官营、广安门内、牛街路口西、菜市口西、南横街路口北、自新路口北、开阳桥北、北京南站|2020-07-01|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，特17路衔接北京南站和北京西站两火车站的线路，主要疏散两火车站和沿线早晚高峰的客流，具有固定和流动客流两部分，所以不建议撤消特17路。另外，特19路单程21.45公里，且线路堵点较多，如延长至北京南站，线路长度达到34公里左右，在实际运营中，增加了周转时间。所以不建议延长线路。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-04|公共交通线路|NaN
建议|公交站更改站名建议|建议将“怡海花园西门”站更名为“地铁科怡路”站，提高辨识度。|2020-06-30|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：感谢您对公交线网优化提出的宝贵建议，我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-04|公共交通线路|NaN
建议|建议891路取消中门寺街站，增设黑山北街、矿建街南口、矿建街北口、龙泉西公交场站四站方便居民到矿建街市场买菜及接驳快速公交4号线龙泉西公交场站|891路现有中门寺街站距快速公交4线中门寺街站较远，快速公交4线中门寺街站出口全部设置在路口一侧，黑山北街站距快速公交4线中门寺街站换乘距离更短，且中门寺街站891路上下车乘客几乎为倒乘快速公交4线和从快速公交4线下车的乘客，且矿建街市场买菜市民较多，早高峰972路八大处-矿建街北口的车次三家店-矿建街北口站区间比进城方向人还多，建议891路取消中门寺街站，增设黑山北街、矿建街南口、矿建街北口、龙泉西公交场站四站方便居民到矿建街市场买菜及接驳快速公交4号线龙泉西公交场站。黑山北街站可代替中门寺街站功能。替代线路：M24|2020-06-30|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，891路属于门头沟环城线路，由门头沟交通局委托公交集团客八分公司经营，调整线路需要门头沟交通局同意，城市公共交通是集约化的城市基础保障性出行服务的，是要符合大多数人的出行利益，兼顾公共服务资源的合理高效使用。891路的运营模式现可满足乘客的出行需求，因此，暂不建议线路调整。针对乘客提出意见及点对点的出行需求，建议乘客登录北京公交定制公交平台填写自己的个性化出行需求，达到调整条件后我们会及时采取措施，保证乘客出行需求。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-04|公共交通线路|NaN
建议|建议通勤苹果园路增设金安桥东/金安桥西站|苹果园站目前暂时封闭无法换乘地铁，通勤苹果园路在绿岛家园-地铁苹果园站间一站直达，该区间目前几乎为空驶。希望通勤苹果园路地铁苹果园站-延庆南菜园总站方向增设金安桥西站，延庆南菜园总站-地铁苹果园站方向增设金安桥东站，方便乘客接驳地铁6号线。|2020-06-30|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实：通勤班车为连接石景山区和延庆区一条快速路线，会根据客流较为密集站点设置站位，区别于常规路线设站方式，不会在途经路线上所有站点设站。车队将会实地勘察，进行客流调查，下一步计划满足乘客出行需求。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-07|公共交通线路|NaN
建议|希望56路公交车走甘家口三里河路|56路公交车改线后，走展览馆路进出动物园公交枢纽。但56路那里车已经很多了，好多线路都重复，比如15路公交车。而我们住百万庄西边的，去儿童医院就非常不方便了。能否让56路公交车走甘家口三里河路，进出动物园公交枢纽。|2020-06-30|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，56路调整后是唯一一条承担阜成门外大街-展览馆路沿线独立走向的线路，如将线路进行调整，将会造成沿线乘客出行不便。因此，暂不建议线路调整。目前，百万庄地区往返北京儿童医院可选择101路、102路、103路一次换乘56路或73路一次换乘19路。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-04|公共交通线路|NaN
建议|建议开通方庄至五棵松公交车|尊敬的领导，您好，东南三环方庄地区与西四环西五环五棵松鲁谷地区的公交线路没有打通，我们上下班接送孩子坐公交车和地铁要换乘，很不方便，希望政府能与公交集团协商，打通直达线路，减少换乘的次数，谢谢！|2020-06-30|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：感谢您对公交线网优化提出的宝贵建议，我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-04|公共交通线路|NaN
建议|建议新开通公交快线|您好，丰台西站附近是大型铁路社区，常住人口多，铁路单位多，但进城的公交线路只有349路一条，且349路还要在人民村、丰台东大街绕行，沿途站位多，红绿灯多，车辆运行的速度很慢，从丰西北里坐349路到六里桥东，不堵车的话需要一小时左右。建议开通由丰台西站铁路社区去往六里桥东、广安门内方向的早晚高峰直达快车，经由京港澳高速运行，提高丰台西站附近居民的出行效率。|2020-06-30|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：车队会对该地区客流需求进行调查，如客流达到开通早晚高峰直达快车条件，待线网统筹规划时，车队会制定和上报方案，积极配合工作，尽力满足乘客出行需求。希望乘客给予谅解和支持。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-07|公共交通线路|NaN
建议|建议829 827 954 839 刘家窑桥西系列 以及 986路 方庄桥东 927路木樨园桥东 参照青年路口掉头存在安全隐患 调整的建议|此前829 827 954 839 在刘家窑桥 底下停车阻碍其余正常车辆正常掉头。也有部分公交车辆违法停车在非机动车上，经客六以及各车队调度以及交管部门合商会建议只能停放三辆车，但实施后，有些公交车违法停车在三环主路公交车后方30m，阻碍其余公交车辆正常进站，存在极大安全隐患，986路方庄桥东，司机经常在方庄桥以东30m处违法停车在辅路非机动车道上上厕所，掉头后又违法停车在三环主路导流带里，存在极大的安全隐患，927路盘桥后经常违法停车在非机动车道上的三环拐弯处，对拐弯的机动车和公交车以及非机动车均有有极大的安全隐患，故参照991路青年路口掉头存在安全隐患的建议，对如上车辆进行调整，提出三点可行建议后，由公交部门审批①建议改为 刘家窑桥西 单行线路 增设 刘家窑桥南 榴乡路北站 石榴园东区 地铁石榴庄站 南顶小区 南顶村北站 地铁大红门站 大红门西里 后恢复原线②建议刘家窑桥西系列恢复到北京站东 或 以及986路恢复到永定门长途汽车站 或将 此线路 延长到 821路方庄南口公交车场站 或 延长到 宋家庄枢纽站 或将839路截线到永定门长途汽车站，927路延长到永定门长途汽车站，走单行站措施。同时建议撤销954路。957路北京站东保持不变。|2020-06-30|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，827、829、954线路如按照乘客建议进行调整，将改变现有线路的路由走向，原有线路站点也将因此改变，进而会对现有乘客乘车带来不便。同时乘客建议839路末站迁移至赵公口长途客运站。赵公口客运站属于长途汽车班线运营场站，且目前场地容纳条件有限，不具备成为公交线路末站的条件。宋家庄枢纽站容量已饱和，不具备再迁入新公交线路条件。另外，986路末站调整至方庄桥东，原线路路由25路替代。927路末站调整至木樨园桥东，原线路路由62路替代，我们暂时无法对两条线路恢复及延长。我们将叮嘱驾驶员严格按规定停车，尽量减少刘家窑桥西停车带来的违停问题，减少停站时间，尽力降低对社会交通的影响。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-04|公共交通线路|NaN
建议|建议亦庄开发区和旧宫开设夜班公交|现在亦庄开发区地区和旧宫居民住宅区众多，且有些在开发区上班的人员需要很晚回到城区的住所。周边公共交通末班时间较早，最近的夜班线路也在城外城和万源路地区。为方便周边居民晚上的出行和夜间通勤，建议开设夜班|2020-06-29|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：感谢您对公交线网优化提出的宝贵建议，我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-03|公共交通线路|NaN
建议|建议F36路|近期发现F36路部分车辆粘贴的车厢站名信息表在玻璃上是透明的，特别不利于查看，请及时更换为纸质的不透明的，谢谢！|2020-06-29|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，车队已对F36路的7部运营车补贴了纸质站位表，方便乘客查看。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-02|公共交通线路|NaN
建议|建议增加学院路-北三环西路走向公交|现学院路沿线乘客（清河、学清路、成府路）去往北三环西路（大钟寺、联想桥方向）只能选择606路，但606路在北医三院处迂回绕行，且该段易拥堵，本来从北航到蓟门桥西2站地5分钟的车程，往往动辄20-30分钟，给乘客造成了较大不便。但606路又服务了学院路沿线乘客前往北医三院就医的巨大客流需求，不宜调整。因此建议通过规划，增加该走向公交线路，方便乘客出行。|2020-06-29|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：公交线路的开通和调整工作要经过交通主管部门的批准，同时要具备一定的条件，还要考虑诸多因素，结合目前的线网和线路运营情况，乘客的意见将作为我们今后工作的参考，我们会根据乘客的意见、具备的条件和路网的规划做好线网工作。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-07|公共交通线路|NaN
建议|调整915、915快、942快、939、868路|1.调整915、915快、942快。东直门外站更名为：东直门外公交场站2.调整868路。延长至：国展新馆公交场站，缓解916、980路客流。868路首末站调整为：云佛山滑雪场-国展新馆公交场站3调整939路。因939路 河荫西路-三元桥东站，客流较少，有时无客流现象，替代路线较多。939路撤销：河荫西路-三元桥东站。613路与939路合并。939路首末站调整为：沙子营汽车站-吴庄|2020-06-29|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：1、公交集团遵照《北京市地名管理办法》、《北京市地名管理条例》的相关规定，以“尊重历史、便于识别、地名先行、规范有序”为基本原则。感谢您对公交线网优化提出的宝贵建议，我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中,如确有需要更改的会在今后的工作规划中予以考虑。2、乘客要求868路延长至国展新馆公交场站问题，868线路是缓解密云城区居民前往怀柔城区而设定的通勤车，如乘客有进京的需求，可以选择980路、916路前往。3、939路首站沙子营汽车站，末站三元桥东站，途经奶子房北站，此站乘客较多，主要出行需求为换乘地铁14号线及地铁10号线，且613路与939路线路走向不同，满足乘客需求不同。因此，您的建议目前不能采纳，请谅解。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-03|公共交通线路|NaN
建议|疫情期间可以取消车辆限行|疫情期间应恢复车辆不限行的规定。北京疫情期间为减少传染概率，应取消一周一次的限行。|2020-06-29|您好，您的来信已收悉，近期，本市通勤需求日渐旺盛，道路交通压力持续回升，工作日高峰时段平均交通指数达6.5(中度拥堵)，上路车辆和拥堵级别已相当于2019年同期限行情况下的水平，市民希望恢复尾号限行措施的呼声高涨。经综合研判，本市于6月1日(周一)起恢复实施尾号限行交通管理措施以及外埠客车工作日早晚高峰限行交通管理措施。感谢您对北京交通工作的理解与支持。|市交通委|2020-07-02|交通管制|NaN
建议|建议丰台西站公交站恢复998路公交车|丰台西站公交站原有公交车349路、998路、专68路（为高峰图），2019年因为998路公交车停靠地点与铁路存放地合约到期不在续约，998路临时改为南五里店始发，因此给附近及沿线居民出行造成不便。今年349路公交站场改造，改造后停车地点完全满足998、349、专68路公交车停靠，建议恢复998路公交车。|2020-06-29|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，由于998路场站腾退，致使无法继续使用该场站，目前采取城南嘉园北至南五里店区间方式运营，双向甩（丰台西站、丰台西站北，榆树庄、西洪泰庄共四站），车队正在对线路周边进行调研，待场站及线路走向确定后，会根据线路客流出行规律制定相应的线路走向。由于349路丰台西站场站仅有10余车位，998路配车10部、349路配车约15部、专68配车约3部，该场站无法容纳30余部运营车停放，故无法使用该场站。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-02|公共交通线路|NaN
建议|公交专68路东延建议|北京公交专68路，运行区段为丰台西站——看丹桥，是丰西北里社区的接驳线路。建议将线路向东延长至怡海花园西门或韩庄子北，以方便乘客换乘地铁9号线。|2020-06-29|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：公交运营线路调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持，并得到市相关部门的审批。我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。同时我们也会根据城市公交线网的整体规划，逐步增开和调整公交线路，以方便百姓出行。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-02|公共交通线路|NaN
建议|建议971路调整发车间隔|建议971路调整为低峰定点线路，加快车辆周转，避免车辆资源浪费。 因午间时段良乡段、长阳客流较少，往返市区需求较低，且有地铁分流，大车上高速几乎坐不了几个人。另外，在苏庄大街－长阳环岛南与993重复，几乎可完全替代971路高速以外路段，吸引大部分短途乘客。 因此建议971路改为首发物流10:30～14:30点定点发车，发车间隔30分钟即可满足沿线出行需求，避免浪费车辆资源。|2020-06-29|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：关于971线路低峰时段改为定点班车的建议，车队认为近期由于疫情影响，乘客乘车减少，因此低峰时段客流较少，目前低峰时段间隔已经为20分钟，且971线路又是唯一一条从长阳上高速进入三环的线路，如果改成低峰定点，将造成乘客候车时间较长。车队将持续关注客流情况，待客流恢复正常后，根据客流情况进行行车计划调整。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-02|公共交通线路|NaN
建议|建议缩短983路弥补594路东段走向，并调整339路|983路全程站数太多，线路太长，司机售票工作强度太大，特别是堵车的时候，不利于驾驶安全，希望983路缩短。由于594路撤销，594路东段（鸟巢以东到望京桥西）小区居民出行非常不方便，建议983路调整后走594路东段走向到国家体育场（鸟巢）附近并驻场站。同时339路沿983路路线至王佐汽车站（或南宫南站），弥补983路南段走向。983路调整后，划入第七客运分公司。|2020-06-29|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，983是唯一一条从丰台区王佐镇开往朝阳区金盏乡东窑村，经过城郊和市区，贯穿丰台、海淀、朝阳三个区，联通西五环、西四环、北四环、至东四环、东五环的直达公交线路。从开通至今客流比较稳定，日均约有2万人次的客流需求（现疫情防控时期日均约有6672人次的客流需求），如盲目调整，势必会给现有983路乘客造成不便。339路主要承载王佐地区，云岗地区以及沿途周边居民至三环路的出行需求，339路暂不适宜调整至王佐汽车站（或南宫南站）。另外，公交线路的调整会根据公交线网整体布局，运力资源配置和外部条件保障等多方面研判，对于合理、具有普遍性、满足实施条件的意见建议，结合线网调整工作予以解决。因此，乘客建议暂时不能采纳，请乘客谅解。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-02|公共交通线路|NaN
建议|关于F75路优化调整|您好：建议F75路优化调整，目前F75路只到地铁长阳站，感觉走向有些单一，因为832路也到地铁长阳站，而且832路调整完后跟F75路有些重复，建议F75路在有条件的情况下优化调整|2020-06-29|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，F75路首站地铁长阳站至末站大宁山庄西门，首站地铁长阳站运营时间5点30分-20点30分，末站大宁山庄西门6点10分-21点10分，单程运营时间40分钟，线路长度8.2公里。全日60车次，高峰计划间隔为20至30分钟，平峰计划间隔为30至40分钟。F75路、832路不是完全重叠的线路。F75路主要方便与靠山居、温庄子家园、长龙苑小区乘客换乘地铁的需求。公交线路的调整会根据公交线网整体布局，运力资源配置和外部条件保障等多方面研判，对于合理、具有普遍性、满足实施条件的意见建议，结合线网调整工作予以解决。您的建议目前暂不能采纳，请谅解。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-02|公共交通线路|NaN
建议|延长331路|331路不应该调整为新街口豁口-西苑北站，建议将它调整为新街口豁口-地铁北宫门站。因为594路撤销以后，331路要是截至西苑的话会造成颐和园的游客去往东边会非常麻烦。如果将331路改到地铁北宫门站，可以增加大量客流，方便颐和园游客往东走，弥补594路撤销后公交线网带来的空缺，方便乘客出行。希望我的意见可以被采纳，谢谢！|2020-06-29|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：公交运营线路调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持，并得到市相关部门的审批。331路线路调整后，随着线路长度的变短，能够对市区内候车乘客的候车时间提供保障，可以有效减少331路全线乘客的候车时间。因此，根据目前客流情况，暂不建议线路调整。594路撤销后我们也会密切关注331路线路客流变化情况，随时做好客流增加并匹配合理运力的工作，及时调整运力和运营组织方案，保证乘客的出行。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-03|公共交通线路|NaN
建议|建议420路进行调整|建议420路进行调整，现存的线路与76路严重重复，运营效率不高。|2020-06-29|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，根据《中华人民共和国国家标准-公共汽电车线网设置和调整规则（GB/T37114-2018）》之标准。420路根据国家线网的走向制定的线路，如果420路进行调整会对现有乘车乘客造成出行不便。因此，您的建议目前不能采纳，我们会在今后的线网规划当中加以考虑。望乘客理解。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2020-07-02|公共交通线路|NaN
